time,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,current
0.0,198.6445982924458,200.5082633728142,199.2283623705143,201.8363476034676,200.0813597610818,198.86106897116076,199.6320706207748,200.67472381013246,199.47688591230556,200.14711471176707,200.866536715834,200.46606646149107,4500.0
0.05,200.86670559139367,199.359813904512,199.45991236249424,201.4148070933032,199.83806840968876,199.12109292571512,200.93697478887472,199.84269914001516,200.84583368919417,200.07914768469857,199.85768891124047,200.988157949422,4504.166666666667
0.1,198.84117584177065,201.49541788227873,199.54826666065856,200.54593191691305,200.28699466326643,201.4689550966637,200.7215187640302,201.10178249562284,200.78982423705534,200.1352733137201,200.02792552084003,201.43943131178426,4508.333333333333
0.15000000000000002,201.40995826514217,201.05020066666816,201.59168683220267,201.71221527135057,200.9232484402844,199.464842700753,202.13654427683363,201.5744903971232,200.88486223053087,201.18554268565688,200.40570228341733,200.03180607537192,4512.5
0.2,202.0226807014193,201.46333751277666,202.7878323870119,200.27262997442048,203.23100942847586,202.14363525018598,201.05787287566332,202.55074788612873,202.0485791470212,202.59292970654843,204.20027529329707,200.71422639211656,4516.666666666667
0.25,200.92610831567004,200.38778445399117,200.3333546908803,202.53611168133023,202.977794409614,203.7503577137722,203.01137794774664,201.37308344996356,203.48294163442804,203.04847318439485,204.5475519691692,202.4662326521218,4520.833333333333
0.30000000000000004,202.27251048883596,202.96226993925316,203.6809122097581,202.27587071826176,202.81259085866435,203.1355062140326,204.17223683480765,202.80090189440128,201.91666107763862,204.1755472137786,202.66173561693512,202.79137569690815,4525.0
0.35000000000000003,201.98300998605777,201.9910120561421,202.66460492930187,202.91087511483138,202.39377456167364,206.21910362363477,202.9992612288684,204.03566651208277,202.587443894622,203.45790589492992,203.40803899650328,205.16014677833468,4529.166666666667
0.4,201.90758763667975,203.6097430718438,205.55762716089436,203.75076321866254,203.98343789724075,203.0508798227668,204.18542353426602,204.4598759292216,206.18219771547973,204.61946285478598,204.08362754948368,204.37540134120542,4533.333333333333
0.45,204.01289672843424,203.5712625532561,203.37911248057645,202.64143296758556,204.73550926093185,203.15360525702744,204.62997722251805,204.24168890118972,205.2043602145019,204.434376923735,205.15919631289518,205.6655574456025,4537.5
0.5,204.1588783155112,203.82763937045,204.94959982484073,205.0670210645127,203.97022414955933,205.50613250531393,204.65904533847146,205.5363856934606,205.1657693496188,207.3118133277097,206.42305349697338,205.1594922738405,4541.666666666667
0.55,205.60931108663618,203.02144565456982,205.85896819760316,206.2228714980044,205.33997267753634,205.70955342041609,206.59388071862918,205.3754697406299,206.36485651873696,205.6461700726686,208.23770736493316,206.90973453111965,4545.833333333333
0.6000000000000001,204.59864091240678,204.48351031384826,204.86468647952137,204.61805404916063,205.56650733166836,207.24431910357583,205.83820667666558,205.0824303988027,207.74411233188792,207.0997837497783,208.72946868675427,206.0862402239577,4550.0
0.65,205.10066228082897,206.49418753213328,204.23206014625234,205.44188619132981,206.82030388470022,208.39553993560003,206.45185815185278,207.43385689345513,206.28063220834144,207.51619201082585,206.45153270958502,208.4354301056545,4554.166666666667
0.7000000000000001,206.1566719922133,205.32556918773344,204.92232572656368,206.74984767181704,205.16976796204563,206.8737414364836,208.13250860061675,207.28464543119185,206.9439013524594,207.0859295294395,208.89776360448406,207.25106573626755,4558.333333333333
0.75,206.03176415568907,206.54038194808857,207.03877334639353,205.75800404172077,208.57370937843396,208.85748289507941,207.37705914138763,207.85602719051846,208.3367759713199,209.58584195453017,208.92535986958256,207.02413111960544,4562.5
0.8,206.21849120221395,206.79525147084252,207.20482719643087,207.3322117853476,209.96085935069786,208.15449292031124,207.57482024418513,208.823618220341,208.65918532634925,210.50885104133084,209.62768295874534,207.8169252088638,4566.666666666667
0.8500000000000001,206.3152188251525,207.13003373870134,207.72228170824724,209.13894306306673,209.54255601406268,207.6021614591749,209.9586444965117,208.4212458919437,208.33145695445376,209.81861002173332,208.61192575089092,209.9798786486602,4570.833333333333
0.9,206.7775960520785,208.21023626063354,207.79280918174857,208.41932394601784,206.6611894535632,208.02628012340531,209.45073736974055,210.91205153617508,208.17840402569587,209.5439722413707,210.2702836966367,211.10385710716616,4575.0
0.9500000000000001,207.7533242751219,208.39081533134342,208.45262007813378,208.6329955933236,209.73781595800023,208.654927390708,210.58573142974586,211.1372391031329,210.76515413487004,210.83141358282887,211.25695754868818,212.45478541460974,4579.166666666667
1.0,208.0952363155687,209.81889789761368,207.76507809900644,209.2724436807421,211.02267253477527,209.82463183533696,209.83105942465232,209.80786923879714,210.20723135433084,211.46133676706884,212.09862372615984,215.52069838609683,4583.333333333333
1.05,208.84281665831136,209.082016850686,210.05575292584348,209.92303006665935,209.9075656055282,212.48963495946956,209.8556055925408,213.15722117818302,210.541406705677,212.42930512726525,212.81462468281896,211.63564916130142,4587.5
1.1,208.7349056343874,211.74503088261037,210.32920286275103,210.73112571157625,209.43556964760077,211.55790034228565,212.6314027924822,209.89661011717925,213.08863532369625,211.06995226521548,213.45181249326393,214.01565311972732,4591.666666666667
1.1500000000000001,210.53015896087877,209.6210444936334,208.46200435088113,210.27983205182164,211.84441386604541,210.9635074797799,211.98748218006182,214.29624127101235,211.4913897313425,212.48319349990666,214.78332144915152,215.3882921688092,4595.833333333333
1.2000000000000002,210.18946016543566,211.66453294123534,212.31810619037313,210.3956488660007,211.54917109201295,212.1822539059163,210.46299028947732,214.26358211827807,215.0682964116843,213.75468731785583,215.0504359968622,215.08850093234923,4600.0
