time,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12
0.0,200.74768809496726,200.77758454118805,200.656700112671,197.8977072757764,201.2858089453035,199.49501053214829,202.24318982760528,199.69481887933856,199.8190864328084,197.59730799403403,198.7129455398063,198.47651544987502
0.05,199.8094104488491,198.9038234138639,201.15597520341117,199.94558718511783,200.5895744614094,200.8679251856657,201.04604679342913,198.44945917659726,199.72590459713038,199.91943179222272,200.3815026580179,200.6888739879435
0.1,201.1778358407935,200.9967865805567,200.0239064260966,200.72737213022376,201.20901208094054,201.37892172033727,203.23389627406846,199.52809576402197,200.3444208525353,201.42046489470965,200.73794688808584,201.35323414904286
0.15000000000000002,199.9044091436033,201.66062517316757,200.0082554147122,202.33265910290618,200.20046843580886,201.03258311518286,202.89543752601935,202.31133767073877,203.1888319295673,200.36048715471617,201.03537697389908,201.40294176265687
0.2,201.73013647492292,202.03279181522575,201.0356630805902,201.7684068468798,203.06003623349818,201.6207671375411,200.89598938588077,202.5431403433499,202.4830986890245,205.3220199150133,203.22928455812496,204.3003239583324
0.25,203.35608073284592,201.33623632101964,201.10053332802485,204.48277328636692,200.92718184447787,202.29926636174113,203.23188691795755,202.97867630564767,203.0090236282501,204.6431200978039,202.74207356169705,202.87213715896365
0.30000000000000004,203.29918460048717,202.31481354749775,203.47690408689573,203.97683679442008,204.15707147820686,204.02015734529502,203.6480216371194,202.85581506934378,204.25277149483372,202.6010951571156,201.80264658131912,203.82542297170542
0.35000000000000003,203.3392872323493,204.0475591727385,202.8551102803766,201.78119873489987,203.89969184368528,203.95940702662276,203.7514476243726,203.52412087440337,202.85524308105647,205.71525484485744,203.70053298639286,203.4623245851162
0.4,202.12426910679162,205.73480470120975,203.57119537041675,204.49031100607306,204.39858177300735,204.41051331460727,205.45159472102384,203.55091976231222,203.77008783139533,205.16889859699282,204.13631578933393,206.23082656068436
0.45,203.48954632198544,203.4530274962983,202.1809773459676,204.66027291719374,203.54795675196226,204.89989191215815,204.22912320400846,204.8083917611966,205.38060820076186,205.10058587889583,205.02445995499536,206.76312097167957
0.5,203.49452621715457,205.18402479257495,204.9596401814999,205.08578292070362,204.91230396272806,205.1520128172651,205.53586470774349,206.99242470513673,205.25622926937592,206.84877796200576,206.74248288036176,203.2838295997649
0.55,203.6307275105129,204.26086543343175,205.23168004268567,205.23516286441233,203.9849575593464,204.17529466862803,206.90976712395695,207.96437516278016,205.28561940213035,205.39234937249793,207.01997380375929,204.40110230300138
0.6000000000000001,203.88940736133023,205.16041647667922,204.953490982597,204.72468344102487,205.8747485554671,207.25475191062483,206.63409762939304,207.19804133978923,208.0380251435324,206.41552956401645,205.12583124594212,206.86344114813318
0.65,206.77900596717453,206.4989574473761,205.09030149530275,206.94295483507622,205.04807799313926,205.68784939102315,206.73727752178027,207.104639129764,208.5150877937084,207.244340908715,209.71027515336124,207.07760826736674
0.7000000000000001,204.21885314885097,206.6303361835546,206.41739954158874,206.59878390802467,207.06168162782896,206.40687630453098,207.62743916325053,207.43644386532247,207.8977994815882,206.68056058907152,208.44942614282127,205.6078180541613
0.75,208.01934920621136,206.045216327495,208.77495480882837,207.2125678773057,205.38563127588407,208.12208305076834,208.24269185320318,208.0896872359118,208.00960056204232,207.86058243626567,207.95271109443968,209.5355785040482
0.8,205.5254128271645,206.24887862891364,207.70467326701933,207.17738318905214,207.7129575798775,208.17460102083174,208.6301659762518,207.69262249910736,209.10886048833507,208.13549011817435,209.24979179260228,209.75623286763337
0.8500000000000001,207.48538819056603,207.0045792181786,206.98445573909416,208.6553954165874,208.09473747792774,208.8078528844878,210.03468559119779,209.62576036627038,209.1624442726708,210.35860234649786,209.9312987295011,211.27329417613046
0.9,207.98307500841676,207.6426487360135,209.7661305843334,207.96116627536563,210.70990255954737,206.6276822950139,209.9060710405618,207.37880385329467,211.08127116514424,209.83385985241918,209.85311665856236,211.3375123224543
0.9500000000000001,207.53733961834686,209.75073164898848,208.78769162199916,208.19460310796245,210.04381824454813,210.1108071835731,210.7295093617459,211.669948343603,210.0854371525426,211.13505862360776,209.1815786045786,211.3277027922623
1.0,208.5909880208834,209.13502056069976,210.14819927685562,208.49499982147387,208.05427038365087,210.6910699487317,207.6573721005588,210.73407423970485,209.85836220641815,211.90773001641878,211.59345554634882,211.83395373845676
1.05,205.81202982362336,209.61478025023274,209.91995114453306,210.0080139243461,212.14555645584107,210.19962078923626,211.0222551534271,210.98487561994563,212.1989296270498,212.26672953403173,211.99583265791404,212.45295301550124
1.1,208.51232668532214,209.44800146136984,209.53608817263816,210.71682343422407,211.81151068887763,210.8321385942228,211.21774294047637,210.23705365094924,211.87627549418778,212.7602085440206,212.3995848384441,211.8370286479136
1.1500000000000001,209.01796884189685,210.91325232795973,209.50270466302104,209.57301675319903,211.27494431830328,212.61757583190015,212.82761567281148,212.15802594026601,211.88215003741445,214.54279678024838,212.2369164445721,213.54552957534426
1.2000000000000002,210.28176594622155,209.7484825792876,210.91506638691354,210.52526837318254,212.4136813443445,213.46332896570792,211.59741951374664,212.76786537089637,215.11476153608714,213.78167560824858,213.47597508860702,216.3431346750272
1.25,210.5190275765804,210.26295937087568,210.561878038486,211.59797087075046,212.86679822575184,214.5299305867047,212.780353264891,213.48241799444597,213.92559642532942,213.7411082722681,217.29968570171962,214.56612042911217
1.3,211.56222685112036,210.24786669568246,211.37851511284578,211.4011049732834,212.09558895657526,212.49361998508064,212.25138853858954,214.3899534864082,213.40556143197128,214.2706838168856,216.34363676129715,215.54144897903768
